,Natural,SQL
0,What is the Name of the Author with ID A-2392 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-2392';
1,What is the Name of the Author with ID A-220 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-220';
2,What is the Name of the Author with ID A-3208 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-3208';
3,What is the Name of the Author with ID A-10787 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-10787';
4,What is the Name of the Author with ID A-12662 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-12662';
5,What is the Name of the Author with ID A-8747 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8747';
6,What is the Name of the Author with ID A-5900 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-5900';
7,What is the Name of the Author with ID A-13371 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-13371';
8,What is the Name of the Author with ID A-14043 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-14043';
9,What is the Name of the Author with ID A-897 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-897';
10,What is the Name of the Author with ID A-18390 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-18390';
11,What is the Name of the Author with ID A-8714 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8714';
12,What is the Name of the Author with ID A-9471 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-9471';
13,What is the Name of the Author with ID A-7355 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-7355';
14,What is the Name of the Author with ID A-7125 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-7125';
15,What is the Name of the Author with ID A-16135 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-16135';
16,What is the Name of the Author with ID A-3135 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-3135';
17,What is the Name of the Author with ID A-9066 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-9066';
18,What is the Name of the Author with ID A-7134 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-7134';
19,What is the Name of the Author with ID A-4403 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-4403';
20,What is the Name of the Author with ID A-16367 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-16367';
21,What is the Name of the Author with ID A-13577 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-13577';
22,What is the Name of the Author with ID A-10616 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-10616';
23,What is the Name of the Author with ID A-14432 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-14432';
24,What is the Name of the Author with ID A-1174 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-1174';
25,What is the Name of the Author with ID A-6525 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-6525';
