,Natural,SQL
0,List all the papers,SELECT PaperID FROM PaperID_AuthID
1,List all the authors,SELECT DISTINCT AuthID FROM PaperID_AuthID
2,List all the papers which are written by author of authorID A-5532.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5532'
3,List all the papers which are written by author of authorID A-7609.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7609'
4,List all the papers which are written by author of authorID A-17883.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17883'
5,List all the papers which are written by author of authorID A-29.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-29'
6,List all the papers which are written by author of authorID A-9862.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9862'
7,List all the papers which are written by author of authorID A-14500.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-14500'
8,List all the papers which are written by author of authorID A-3825.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-3825'
9,List all the papers which are written by author of authorID A-13410.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-13410'
10,List all the papers which are written by author of authorID A-7273.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7273'
11,List all the papers which are written by author of authorID A-11294.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11294'
12,List all the papers which are written by author of authorID A-5966.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5966'
13,List all the papers which are written by author of authorID A-5451.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5451'
14,List all the papers which are written by author of authorID A-4542.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-4542'
15,List all the papers which are written by author of authorID A-15154.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15154'
16,List all the papers which are written by author of authorID A-16523.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16523'
17,List all the papers which are written by author of authorID A-424.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-424'
18,List all the papers which are written by author of authorID A-6775.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-6775'
19,List all the papers which are written by author of authorID A-17368.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17368'
20,List all the papers which are written by author of authorID A-18474.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-18474'
21,List all the papers which are written by author of authorID A-17582.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17582'
22,List all the papers which are written by author of authorID A-14241.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-14241'
23,List all the papers which are written by author of authorID A-17068.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17068'
24,List all the papers which are written by author of authorID A-6676.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-6676'
25,List all the papers which are written by author of authorID A-8117.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-8117'
26,List all the papers which are written by author of authorID A-9701.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9701'
27,List all the papers which are written by author of authorID A-1309.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-1309'
28,List all the papers which are written by author of authorID A-10040.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10040'
29,List all the papers which are written by author of authorID A-9564.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9564'
30,List all the papers which are written by author of authorID A-11004.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11004'
31,List all the papers which are written by author of authorID A-11729.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11729'
32,List all the papers which are written by author of authorID A-16211.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16211'
33,List all the papers which are written by author of authorID A-16368.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16368'
34,List all the papers which are written by author of authorID A-7650.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7650'
35,List all the papers which are written by author of authorID A-3083.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-3083'
36,List all the papers which are written by author of authorID A-7278.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7278'
37,List all the papers which are written by author of authorID A-18717.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-18717'
38,List all the papers which are written by author of authorID A-4300.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-4300'
39,List all the papers which are written by author of authorID A-4301.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-4301'
40,List all the papers which are written by author of authorID A-9667.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9667'
41,List all the papers which are written by author of authorID A-9473.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9473'
42,List all the papers which are written by author of authorID A-9541.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9541'
43,List all the papers which are written by author of authorID A-12887.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12887'
44,List all the papers which are written by author of authorID A-18241.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-18241'
45,List all the papers which are written by author of authorID A-7353.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7353'
46,List all the papers which are written by author of authorID A-14297.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-14297'
47,What are the papers written by A-15015?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15015'
48,What are the papers written by A-2000?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2000'
49,What are the papers written by A-17743?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17743'
50,What are the papers written by A-10603?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10603'
51,What are the papers written by A-866?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-866'
52,What are the papers written by A-5832?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5832'
53,What are the papers written by A-11038?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11038'
54,What are the papers written by A-13771?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-13771'
55,What are the papers written by A-12728?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12728'
56,What are the papers written by A-16009?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16009'
57,What are the papers written by A-9451?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9451'
58,What are the papers written by A-1733?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-1733'
59,What are the papers written by A-15162?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15162'
60,What are the papers written by A-10297?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10297'
61,What are the papers written by A-5824?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5824'
62,What are the papers written by A-16767?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16767'
63,What are the papers written by A-16853?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16853'
64,What are the papers written by A-18129?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-18129'
65,What are the papers written by A-290?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-290'
66,What are the papers written by A-10250?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10250'
68,What are the papers written by A-11734?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11734'
69,What are the papers written by A-5620?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5620'
70,What are the papers written by A-5769?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5769'
71,What are the papers written by A-7511?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7511'
72,What are the papers written by A-10073?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10073'
73,What are the papers written by A-18714?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-18714'
74,What are the papers written by A-1845?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-1845'
75,What are the papers written by A-17170?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17170'
76,What are the papers written by A-14768?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-14768'
77,What are the papers written by A-17379?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17379'
78,What are the papers written by A-17199?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17199'
79,What are the papers written by A-12511?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12511'
80,What are the papers written by A-7253?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7253'
81,What are the papers written by A-3285?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-3285'
82,What are the papers written by A-2183?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2183'
83,What are the papers written by A-8517?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-8517'
84,What are the papers written by A-10669?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10669'
85,What are the papers written by A-14387?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-14387'
86,What are the papers written by A-13045?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-13045'
87,What are the papers written by A-13243?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-13243'
88,What are the papers written by A-15331?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15331'
89,What are the papers written by A-4262?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-4262'
90,What are the papers written by A-16446?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16446'
91,What are the papers written by A-15916?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15916'
92,How many papers are written by A-5000?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-5000'
93,How many papers are written by A-4793?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-4793'
